nama_kabupaten_kota,jenis_kematian,jumlah_kematian
KOTA DEPOK,BAYI,53
KOTA DEPOK,BAYI,14
KOTA DEPOK,NEONATAL,41
KOTA DEPOK,NEONATAL,9
KOTA CIMAHI,ANAK BALITA,0
KOTA CIMAHI,ANAK BALITA,2
KOTA CIMAHI,BAYI,25
KOTA CIMAHI,BAYI,25
KOTA CIMAHI,NEONATAL,17
KOTA CIMAHI,NEONATAL,19
KOTA TASIKMALAYA,ANAK BALITA,3
KOTA TASIKMALAYA,ANAK BALITA,5
KOTA TASIKMALAYA,BAYI,50
KOTA TASIKMALAYA,BAYI,30
KOTA TASIKMALAYA,NEONATAL,33
KOTA TASIKMALAYA,NEONATAL,25
KOTA BANJAR,ANAK BALITA,0
KOTA BANJAR,ANAK BALITA,0
KOTA BANJAR,BAYI,0
KOTA BANJAR,BAYI,0
KOTA BANJAR,NEONATAL,0
KOTA BANJAR,NEONATAL,0
KABUPATEN BOGOR,ANAK BALITA,2
KABUPATEN BOGOR,ANAK BALITA,4
KABUPATEN BOGOR,BAYI,45
KABUPATEN BOGOR,BAYI,59
KABUPATEN BOGOR,NEONATAL,42
KABUPATEN BOGOR,NEONATAL,49
KABUPATEN BANDUNG,ANAK BALITA,5
KABUPATEN BANDUNG,ANAK BALITA,6
KABUPATEN BANDUNG,BAYI,122
KABUPATEN BANDUNG,BAYI,95
KABUPATEN BANDUNG,NEONATAL,107
KABUPATEN BANDUNG,NEONATAL,83
KABUPATEN TASIKMALAYA,ANAK BALITA,10
KABUPATEN TASIKMALAYA,ANAK BALITA,7
KABUPATEN TASIKMALAYA,BAYI,105
KABUPATEN TASIKMALAYA,BAYI,77
KABUPATEN TASIKMALAYA,NEONATAL,86
KABUPATEN TASIKMALAYA,NEONATAL,53
KABUPATEN CIAMIS,ANAK BALITA,10
KABUPATEN CIAMIS,ANAK BALITA,6
KABUPATEN CIAMIS,BAYI,58
KABUPATEN CIAMIS,BAYI,40
KABUPATEN CIAMIS,NEONATAL,41
KABUPATEN CIAMIS,NEONATAL,34
KABUPATEN KUNINGAN,ANAK BALITA,1
KABUPATEN KUNINGAN,ANAK BALITA,1
KABUPATEN KUNINGAN,BAYI,35
KABUPATEN KUNINGAN,BAYI,34
KABUPATEN KUNINGAN,NEONATAL,25
KABUPATEN KUNINGAN,NEONATAL,25
KABUPATEN CIREBON,ANAK BALITA,3
KABUPATEN CIREBON,ANAK BALITA,2
KABUPATEN CIREBON,BAYI,78
KABUPATEN CIREBON,BAYI,49
KABUPATEN CIREBON,NEONATAL,67
KABUPATEN CIREBON,NEONATAL,42
KABUPATEN SUMEDANG,ANAK BALITA,5
KABUPATEN SUMEDANG,ANAK BALITA,5
KABUPATEN SUMEDANG,BAYI,74
KABUPATEN SUMEDANG,BAYI,60
KABUPATEN SUMEDANG,NEONATAL,51
KABUPATEN SUMEDANG,NEONATAL,38
KABUPATEN INDRAMAYU,ANAK BALITA,5
KABUPATEN INDRAMAYU,ANAK BALITA,3
KABUPATEN INDRAMAYU,BAYI,145
KABUPATEN INDRAMAYU,BAYI,101
KABUPATEN INDRAMAYU,NEONATAL,133
KABUPATEN INDRAMAYU,NEONATAL,95
KABUPATEN SUBANG,ANAK BALITA,2
KABUPATEN SUBANG,ANAK BALITA,1
KABUPATEN SUBANG,BAYI,56
KABUPATEN SUBANG,BAYI,55
KABUPATEN SUBANG,NEONATAL,53
KABUPATEN SUBANG,NEONATAL,53
KABUPATEN PURWAKARTA,ANAK BALITA,5
KABUPATEN PURWAKARTA,ANAK BALITA,5
KABUPATEN PURWAKARTA,BAYI,44
KABUPATEN PURWAKARTA,BAYI,33
KABUPATEN PURWAKARTA,NEONATAL,33
KABUPATEN PURWAKARTA,NEONATAL,21
KABUPATEN KARAWANG,ANAK BALITA,3
KABUPATEN KARAWANG,ANAK BALITA,1
KABUPATEN KARAWANG,BAYI,97
KABUPATEN KARAWANG,BAYI,60
KABUPATEN KARAWANG,NEONATAL,84
KABUPATEN KARAWANG,NEONATAL,50
KABUPATEN BEKASI,ANAK BALITA,0
KABUPATEN BEKASI,ANAK BALITA,0
KABUPATEN BEKASI,BAYI,14
KABUPATEN BEKASI,BAYI,21
KABUPATEN BEKASI,NEONATAL,14
KABUPATEN BEKASI,NEONATAL,21
KABUPATEN BANDUNG BARAT,ANAK BALITA,0
KABUPATEN BANDUNG BARAT,ANAK BALITA,0
KABUPATEN BANDUNG BARAT,BAYI,0
KABUPATEN BANDUNG BARAT,BAYI,0
KABUPATEN BANDUNG BARAT,NEONATAL,0
KABUPATEN BANDUNG BARAT,NEONATAL,0
KABUPATEN PANGANDARAN,ANAK BALITA,1
KABUPATEN PANGANDARAN,ANAK BALITA,0
KABUPATEN PANGANDARAN,BAYI,22
KABUPATEN PANGANDARAN,BAYI,11
KABUPATEN PANGANDARAN,NEONATAL,14
KABUPATEN PANGANDARAN,NEONATAL,7
KOTA BOGOR,ANAK BALITA,3
KOTA BOGOR,ANAK BALITA,1
KOTA BOGOR,BAYI,30
KOTA BOGOR,BAYI,24
KOTA BOGOR,NEONATAL,25
KOTA BOGOR,NEONATAL,19
KOTA SUKABUMI,ANAK BALITA,0
KOTA SUKABUMI,ANAK BALITA,0
KOTA SUKABUMI,BAYI,0
KOTA SUKABUMI,BAYI,0
KOTA SUKABUMI,NEONATAL,0
KOTA SUKABUMI,NEONATAL,0
KOTA BANDUNG,ANAK BALITA,11
KOTA BANDUNG,ANAK BALITA,16
KOTA BANDUNG,BAYI,69
KOTA BANDUNG,BAYI,45
KOTA BANDUNG,NEONATAL,54
KOTA BANDUNG,NEONATAL,31
KOTA CIREBON,ANAK BALITA,3
KOTA CIREBON,ANAK BALITA,1
KOTA CIREBON,BAYI,9
KOTA CIREBON,BAYI,5
KOTA CIREBON,NEONATAL,7
KOTA CIREBON,NEONATAL,5
KOTA BEKASI,ANAK BALITA,1
KOTA BEKASI,ANAK BALITA,2
KOTA BEKASI,BAYI,34
KOTA BEKASI,BAYI,24
KOTA BEKASI,NEONATAL,28
KOTA BEKASI,NEONATAL,21
KOTA DEPOK,ANAK BALITA,2
KOTA DEPOK,ANAK BALITA,2
KOTA DEPOK,BAYI,50
KOTA DEPOK,BAYI,31
KOTA DEPOK,NEONATAL,46
KOTA DEPOK,NEONATAL,24
KOTA CIMAHI,ANAK BALITA,0
KOTA CIMAHI,ANAK BALITA,2
KOTA CIMAHI,BAYI,29
KOTA CIMAHI,BAYI,35
KOTA CIMAHI,NEONATAL,18
KOTA CIMAHI,NEONATAL,30
KOTA TASIKMALAYA,ANAK BALITA,9
KOTA TASIKMALAYA,ANAK BALITA,5
KOTA TASIKMALAYA,BAYI,34
KOTA TASIKMALAYA,BAYI,28
KOTA TASIKMALAYA,NEONATAL,24
KOTA TASIKMALAYA,NEONATAL,22
KOTA BANJAR,ANAK BALITA,9
KOTA BANJAR,ANAK BALITA,5
KOTA BANJAR,BAYI,13
KOTA BANJAR,BAYI,12
KOTA BANJAR,NEONATAL,10
KOTA BANJAR,NEONATAL,7
